Company Name,Website,Category,Tech Stack,Company Size,Remote Policy,Career Page,Contact Role,Contact Email,LinkedIn Page
Vercel,https://vercel.com,Developer Infrastructure / Cloud,"Next.js, React, Node.js, Rust, Go",500-1000,100% Remote Global,https://vercel.com/careers,Head of Talent / Engineering Recruiter,careers@vercel.com,https://www.linkedin.com/company/vercel
Supabase,https://supabase.com,Open Source Firebase Alternative,"PostgreSQL, Elixir, TypeScript, Go",100-250,100% Remote Global,https://supabase.com/careers,Co-Founder / Recruiting Lead,jobs@supabase.com,https://www.linkedin.com/company/supabase
PostHog,https://posthog.com,Product Analytics & Feature Flags,"Python, Django, React, ClickHouse",50-100,100% Remote Worldwide,https://posthog.com/careers,Talent Lead,careers@posthog.com,https://www.linkedin.com/company/posthog
Zapier,https://zapier.com,Workflow Automation,"Python, Django, React, AWS",1000+,100% Remote Worldwide,https://zapier.com/jobs,Recruiting Team,jobs@zapier.com,https://www.linkedin.com/company/zapier
Doist (Todoist / Twist),https://doist.com,Productivity & Collaboration Tools,"Python, Android, iOS, React, Node.js",100-250,100% Remote Worldwide,https://doist.com/jobs,Head of People,jobs@doist.com,https://www.linkedin.com/company/doist
GitLab,https://gitlab.com,DevOps & Source Control,"Ruby on Rails, Go, Vue.js, PostgreSQL",2000+,100% Remote Worldwide,https://about.gitlab.com/jobs,Global Talent Acquisition,recruiting@gitlab.com,https://www.linkedin.com/company/gitlab-com
Automattic (WordPress.com),https://automattic.com,Web Publishing & Open Source,"PHP, JavaScript, React, Go",2000+,100% Remote Worldwide,https://automattic.com/work-with-us,Hiring Lead,jobs@automattic.com,https://www.linkedin.com/company/automattic
Basecamp (37signals),https://37signals.com,Project Management & Email (HEY),"Ruby on Rails, Hotwire, SQLite, Swift",50-100,100% Remote Worldwide,https://37signals.com/jobs,Head of Operations,jobs@37signals.com,https://www.linkedin.com/company/37signals
DuckDuckGo,https://duckduckgo.com,Privacy Search & Browser,"Perl, Python, JavaScript, Swift",200-500,100% Remote Worldwide,https://duckduckgo.com/hiring,Talent Acquisition,careers@duckduckgo.com,https://www.linkedin.com/company/duckduckgo
Sourcegraph,https://sourcegraph.com,AI Code Intelligence & Search (Cody),"Go, TypeScript, React, GraphQL",100-250,100% Remote Worldwide,https://about.sourcegraph.com/jobs,Recruiting Operations,jobs@sourcegraph.com,https://www.linkedin.com/company/sourcegraph
